,date,open,close,high,low,volume
90,2017-11-15,335.6,331.33,339.0,324.0,15597.16131
91,2017-11-16,330.98,331.49,334.75,321.41,14145.71696
92,2017-11-17,331.49,331.23,334.6,323.84,18042.02544
93,2017-11-18,331.2,346.66,349.9,326.01,14361.4973
94,2017-11-19,346.66,354.15,373.56,343.07,19397.74898
95,2017-11-20,355.15,367.42,372.5,353.9,18277.0194
96,2017-11-21,367.42,362.12,375.5,350.02,26237.64398
97,2017-11-22,362.12,380.65,384.84,359.0,18121.58484
98,2017-11-23,380.63,405.0,425.0,370.02,25409.00111
99,2017-11-24,405.03,469.0,475.0,392.8,30398.35831
100,2017-11-25,467.57,461.82,484.47,450.0,21428.63117
101,2017-11-26,461.0,462.84,465.0,436.14,21691.11759
102,2017-11-27,462.84,472.31,486.94,453.0,23761.11416
103,2017-11-28,472.32,466.17,477.5,453.5,23967.24816
104,2017-11-29,466.17,421.7,515.0,385.0,51313.49571
105,2017-11-30,421.92,427.43,460.0,387.01,45184.22265
106,2017-12-01,428.05,457.51,465.97,413.74,33072.21995
107,2017-12-02,457.53,457.63,471.91,445.0,25796.14
108,2017-12-03,457.31,460.3,485.9,440.11,24490.05997
109,2017-12-04,460.3,466.67,470.98,445.0,23182.65949
110,2017-12-05,466.66,452.26,468.67,445.21,25387.11695
111,2017-12-06,452.26,411.01,455.1,400.0,38638.76036
112,2017-12-07,413.5,406.33,427.61,375.01,41343.73269
113,2017-12-08,406.52,442.56,456.78,390.0,41064.60305
114,2017-12-09,442.56,460.0,488.0,426.4,41918.34044
115,2017-12-10,460.0,427.35,460.05,403.2,34919.25938
116,2017-12-11,427.35,508.7,512.0,427.35,29763.16644
117,2017-12-12,508.44,620.0,639.27,494.89,59387.02259
118,2017-12-13,622.0,683.99,705.69,539.93,57694.18773
119,2017-12-14,683.98,679.76,747.6,630.5,60919.26902
120,2017-12-15,679.76,674.95,689.0,594.6,39778.16165
121,2017-12-16,673.75,682.81,712.0,669.22,26866.0533
122,2017-12-17,681.8,707.64,728.0,680.33,31398.4476
123,2017-12-18,707.62,784.0,798.88,638.0,45673.70777
124,2017-12-19,784.0,798.0,864.9,729.01,69423.62125
125,2017-12-20,798.0,790.21,828.0,661.0,72526.28416
126,2017-12-21,794.62,782.41,845.99,705.98,78222.53998
127,2017-12-22,784.0,635.97,796.0,504.99,154630.49482
128,2017-12-23,635.15,640.34,714.99,627.97,79001.05634
129,2017-12-24,640.33,658.0,667.64,563.49,95431.94156
130,2017-12-25,659.4,714.95,744.0,599.99,78544.84102
131,2017-12-26,713.12,750.0,750.0,712.56,60052.47905
132,2017-12-27,750.0,739.89,766.05,693.18,51339.2782
133,2017-12-28,739.89,707.89,744.93,645.88,72679.61288
134,2017-12-29,709.5,733.99,757.87,703.0,64028.12647
135,2017-12-30,732.9,681.06,735.0,635.82,89879.99994
136,2017-12-31,680.01,733.98,740.0,672.86,62628.24458
137,2018-01-01,733.01,754.99,763.55,716.8,53909.25885
138,2018-01-02,754.99,855.28,899.5,749.06,113257.78355
139,2018-01-03,855.13,934.03,950.01,810.0,89041.45688
140,2018-01-04,934.03,940.0,1009.72,890.01,102894.47384
141,2018-01-05,940.0,959.3,1045.0,930.0,97374.0163
142,2018-01-06,958.0,1004.11,1017.56,950.0,71954.27895
143,2018-01-07,1003.71,1123.09,1125.0,999.9,65278.81957
144,2018-01-08,1123.09,1133.18,1239.18,910.0,158831.54798
145,2018-01-09,1133.18,1291.0,1326.5,1104.85,118702.88684
146,2018-01-10,1291.0,1247.0,1440.0,1201.1,160185.0129
147,2018-01-11,1249.03,1138.93,1332.49,1021.0,194546.29387
148,2018-01-12,1136.45,1253.87,1288.5,1069.01,93763.47261
