,date,open,close,high,low,volume
116,2018-03-02,10.4715,10.2348,10.585,10.1136,710198.47
117,2018-03-03,10.2347,10.2399,10.4694,10.1171,636280.81
118,2018-03-04,10.2399,10.4139,10.4239,9.8501,591499.65
119,2018-03-05,10.4139,10.0847,10.4533,10.0847,467389.77
120,2018-03-06,10.084,9.3899,10.134,9.1025,939994.7
121,2018-03-07,9.3899,9.0405,10.2114,8.11,2930631.06
122,2018-03-08,9.0446,8.2703,9.1921,8.0211,1878677.62
123,2018-03-09,8.2703,8.2807,8.3421,7.06,1949612.67
124,2018-03-10,8.2951,7.65,8.3498,7.5553,2213393.39
125,2018-03-11,7.65,8.268,8.423,7.2,2660649.85
126,2018-03-12,8.2679,8.034,8.4988,7.66,2529859.67
127,2018-03-13,8.0204,10.2188,11.0,7.8055,7227864.56
128,2018-03-14,10.1999,8.9243,10.6753,8.5,5154134.62
129,2018-03-15,8.915,9.1047,9.4486,8.3,4274358.77
130,2018-03-16,9.1074,9.0645,9.38,8.55,4046429.23
131,2018-03-17,9.1043,8.9231,9.471,8.6245,3951199.27
132,2018-03-18,8.9256,8.9648,8.98,7.8,3959581.29
133,2018-03-19,8.9664,9.035,9.4,8.45,3907835.7
134,2018-03-20,9.035,9.1618,9.2888,8.6001,3926209.35
135,2018-03-21,9.1865,9.9777,10.3383,9.01,4959307.31
136,2018-03-22,9.9729,10.0806,10.94,9.47,4709042.44
137,2018-03-23,10.0614,11.7397,11.98,9.5,5510835.71
138,2018-03-24,11.7158,13.2398,14.9444,11.5314,8441747.33
139,2018-03-25,13.2398,12.95,14.26,12.4771,6175307.17
140,2018-03-26,12.95,12.05,13.04,10.8189,5486492.23
141,2018-03-27,12.01,11.5404,12.23,10.83,4077306.58
142,2018-03-28,11.5404,11.6888,12.235,11.31,3219334.4
143,2018-03-29,11.687,10.1877,11.7494,10.11,3602154.55
144,2018-03-30,10.1877,10.3955,10.8769,9.6305,3795257.43
145,2018-03-31,10.4,11.051,11.4836,10.25,4177534.21
146,2018-04-01,11.0599,11.0767,11.3106,10.3002,4095797.21
147,2018-04-02,11.0956,12.5996,12.68,10.9815,4507155.16
