,date,open,close,high,low,volume
60,2018-07-27,8.298,8.4321,8.5352,8.0,14149475.26
61,2018-07-28,8.4296,8.3523,8.4535,8.12,12344279.7
62,2018-07-29,8.3501,8.3148,8.477,8.13,11644873.39
63,2018-07-30,8.3171,7.7421,8.35,7.4,11922994.36
64,2018-07-31,7.7303,7.3317,7.7464,7.1,10844162.96
65,2018-08-01,7.3317,7.2176,7.3937,6.88,9579047.93
66,2018-08-02,7.2146,7.0072,7.3207,6.8707,8516504.08
67,2018-08-03,7.0071,7.1784,7.2539,6.85,7840361.16
68,2018-08-04,7.1785,6.9779,7.3194,6.8788,2585204.18
69,2018-08-05,6.9779,7.0373,7.0889,6.9029,9206157.48
70,2018-08-06,7.0339,7.0608,7.1602,6.9273,8405635.46
71,2018-08-07,7.0576,6.5689,7.19,6.501,9777297.88
72,2018-08-08,6.569,5.5788,6.569,5.35,13221551.54
73,2018-08-09,5.5788,5.7581,5.9416,5.3988,12850965.32
74,2018-08-10,5.7548,5.2454,5.8131,5.1606,13561226.17
75,2018-08-11,5.2479,4.9669,5.3293,4.8152,13957284.98
76,2018-08-12,4.9638,4.9653,5.1701,4.9002,11379903.76
77,2018-08-13,4.9631,4.5799,5.17,4.4723,13437268.88
78,2018-08-14,4.5818,4.5771,4.5885,4.15,13455331.16
79,2018-08-15,4.5772,4.6208,4.9203,4.48,13564051.57
80,2018-08-16,4.6208,4.521,4.8119,4.434,12620729.2
81,2018-08-17,4.517,5.5834,5.6,4.4866,16303531.19
82,2018-08-18,5.5901,5.0788,5.661,4.82,9205753.27
83,2018-08-19,5.0764,5.2843,5.4093,4.9374,4144220.91
84,2018-08-20,5.2854,4.702,5.355,4.6641,12405439.12
85,2018-08-21,4.702,4.9098,4.95,4.65,11624179.41
86,2018-08-22,4.9112,4.7144,5.332,4.5203,14950192.46
87,2018-08-23,4.711,4.8961,4.9512,4.641,11319765.31
88,2018-08-24,4.8964,5.0416,5.1084,4.771,12609719.58
89,2018-08-25,5.0483,5.0284,5.0706,4.9038,11571667.26
90,2018-08-26,5.0309,4.9497,5.048,4.8171,11920852.34
91,2018-08-27,4.9457,5.392,5.4351,4.9043,14618857.84
92,2018-08-28,5.3919,5.9165,6.03,5.27,15445866.35
93,2018-08-29,5.9174,6.1251,6.4802,5.7696,17756893.76
94,2018-08-30,6.1252,6.064,6.2799,5.7304,13024568.83
95,2018-08-31,6.0641,6.4025,6.5,5.9171,15251455.65
96,2018-09-01,6.4085,6.667,6.8116,6.3971,14560265.7
97,2018-09-02,6.667,6.6366,6.6962,6.3158,12465241.13
