,Date,Open,Close,High,Low,Volume
0,2018-05-04,0.5,0.8899,1.5,0.5,20890213.82
1,2018-05-05,0.8898,0.9028,0.935,0.888,16816165.3
2,2018-05-06,0.9028,0.86483,0.918,0.83774,16002035.8
3,2018-05-07,0.86482,0.8249,0.86886,0.8,17303486.4
4,2018-05-08,0.8249,0.80667,0.84802,0.792,12971303.18
5,2018-05-09,0.80667,0.79481,0.81894,0.7569,13982375.89
6,2018-05-10,0.79481,0.74558,0.80572,0.74085,10136895.73
7,2018-05-11,0.7492,0.6761,0.75602,0.64758,31292480.04
8,2018-05-12,0.67376,0.68522,0.71,0.62519,18181151.11
9,2018-05-13,0.68192,0.72999,0.7501,0.66456,17521261.77
10,2018-05-14,0.72999,0.72694,0.7499,0.68585,21771364.96
11,2018-05-15,0.72695,0.689,0.74892,0.6801,12951988.45
12,2018-05-16,0.689,0.70585,0.712,0.65756,11182432.7
13,2018-05-17,0.70942,0.65849,0.712,0.6482,10070061.14
14,2018-05-18,0.65849,0.67766,0.68255,0.646,10140675.13
15,2018-05-19,0.67698,0.67339,0.69139,0.6611,6854397.75
16,2018-05-20,0.67483,0.6994,0.70659,0.668,8055673.92
17,2018-05-21,0.6994,0.67612,0.705,0.66666,7908213.57
18,2018-05-22,0.67612,0.63782,0.67817,0.635,7567010.71
19,2018-05-23,0.63782,0.59198,0.64488,0.5731,20078062.21
20,2018-05-24,0.59053,0.62814,0.64,0.57617,14214140.1
21,2018-05-25,0.62966,0.60459,0.63391,0.59336,20060607.91
22,2018-05-26,0.60596,0.60852,0.62618,0.59771,25800066.42
23,2018-05-27,0.60907,0.60416,0.648,0.59705,23735080.8
24,2018-05-28,0.60417,0.54689,0.6091,0.5434,29854808.11
25,2018-05-29,0.54689,0.59998,0.60921,0.54303,30948291.22
26,2018-05-30,0.5997,0.60149,0.626,0.58101,31305613.07
27,2018-05-31,0.60051,0.6114,0.62255,0.58829,33579966.89
28,2018-06-01,0.6114,0.62151,0.62428,0.6024,34403361.87
29,2018-06-02,0.62236,0.64269,0.65204,0.61513,37211532.2
30,2018-06-03,0.64285,0.6901,0.69101,0.63862,37142715.53
31,2018-06-04,0.6901,0.65507,0.707,0.6351,48289982.65
32,2018-06-05,0.65508,0.67464,0.686,0.6328,42509387.77
33,2018-06-06,0.67507,0.6741,0.6833,0.653,34326183.79
34,2018-06-07,0.6738,0.67756,0.69,0.67089,35031819.04
35,2018-06-08,0.6777,0.6721,0.68,0.65832,32089604.02
36,2018-06-09,0.67211,0.6574,0.68,0.65514,31323211.84
