Date,Open,Close,High,Low,Volume
2020-02-09,80.64,87.59,87.82,80.44,77002.1441
2020-02-10,87.63,84.53,87.9,83.22,61795.19253
2020-02-11,84.53,89.36,89.52,82.65,67868.15486
2020-02-12,89.45,94.29,94.67,89.1,103240.12183
2020-02-13,94.37,92.25,95.2,89.44,87832.38479
2020-02-14,92.25,95.16,95.2,90.75,49133.26383
2020-02-15,95.12,89.1,96.86,86.42,69017.88285
2020-02-16,89.17,87.8,92.15,79.51,89824.40075
2020-02-17,87.77,82.59,89.03,79.19,86651.7667
2020-02-18,82.65,86.34,87.26,81.12,67346.84381
2020-02-19,86.34,77.69,86.81,76.04,58141.47534
2020-02-20,77.71,76.39,79.13,74.97,109683.14036
2020-02-21,76.53,80.29,82.13,75.65,64280.53192
2020-02-22,80.27,78.9,82.82,78.0,90729.44324
2020-02-23,78.89,85.05,85.59,78.82,64150.70253
2020-02-24,85.13,79.2,86.3,76.89,80931.9311
2020-02-25,79.19,76.49,82.07,75.34,70490.55843
2020-02-26,76.48,70.61,77.94,68.38,94766.06591
2020-02-27,70.62,70.26,72.66,66.71,102439.36647
2020-02-28,70.26,68.41,71.55,66.05,67880.891
2020-02-29,68.41,65.92,69.17,65.91,46744.02251
2020-03-01,65.9,64.53,67.75,63.26,51748.53249
2020-03-02,64.39,68.78,69.25,64.25,56632.41582
2020-03-03,68.87,65.89,69.0,65.0,50168.48198
2020-03-04,65.9,65.68,67.99,64.71,44799.42047
2020-03-05,65.72,68.46,70.05,65.72,38793.22803
2020-03-06,68.46,69.13,69.78,67.56,55041.31234
2020-03-07,69.12,65.71,69.58,65.15,64801.88028
2020-03-08,65.71,56.44,65.71,55.78,108856.47094
2020-03-09,56.38,55.77,57.71,52.23,119547.55597
2020-03-10,55.81,54.82,57.05,53.59,74260.92422
2020-03-11,54.87,54.2,56.04,50.97,71365.42885
2020-03-12,54.28,31.81,54.38,30.34,300131.3291
2020-03-13,31.83,36.92,40.45,25.08,267765.28941
2020-03-14,36.94,36.21,40.15,35.35,109242.17365
2020-03-15,36.18,38.01,41.25,35.68,138659.77134
2020-03-16,38.01,34.0,38.77,29.2,216900.34329
2020-03-17,34.05,36.26,37.47,33.49,110119.7225
2020-03-18,36.27,37.12,37.57,33.95,140960.94656
2020-03-19,37.12,40.87,42.88,36.05,162254.59273
2020-03-20,40.82,40.33,45.44,36.48,175376.25564
2020-03-21,40.35,41.23,45.46,38.41,200887.51854
2020-03-22,41.21,38.21,42.61,37.77,168994.43805
2020-03-23,38.19,44.45,46.75,37.59,151242.69515
2020-03-24,44.45,47.26,48.08,43.22,174599.77016
2020-03-25,47.13,47.15,48.14,45.06,118935.52705
2020-03-26,47.18,50.28,51.03,47.18,164697.75207
2020-03-27,50.28,47.7,51.44,47.37,104502.64593
2020-03-28,47.69,47.11,48.48,44.89,130406.93778
2020-03-29,47.13,44.04,47.31,43.96,72229.07183
2020-03-30,44.04,46.41,47.66,43.85,110255.71745
2020-03-31,46.48,47.6,48.55,46.36,104684.11339
2020-04-01,47.59,48.47,48.89,46.43,94140.72078
2020-04-02,48.47,50.75,53.0,47.92,127460.02239
2020-04-03,50.68,52.96,54.35,50.23,135822.79731
2020-04-04,52.98,54.11,55.3,52.12,133614.30853
2020-04-05,54.14,53.15,54.32,52.6,69488.98755
2020-04-06,53.15,58.93,59.23,53.14,122788.8981
2020-04-07,58.89,55.94,60.58,54.76,124691.67781
2020-04-08,55.97,57.88,58.28,55.55,82257.55004
2020-04-09,57.85,58.4,58.93,56.09,70792.84374
2020-04-10,58.37,53.7,58.48,52.43,99510.99145
2020-04-11,53.7,53.86,54.82,52.49,64901.31719
2020-04-12,53.84,53.68,55.64,52.81,76041.20897
2020-04-13,53.67,52.98,53.68,51.01,98275.0027
2020-04-14,53.04,54.09,55.22,52.65,78544.54869
2020-04-15,54.08,53.12,55.12,53.11,105132.30664
2020-04-16,53.11,56.9,57.65,51.56,133570.03403
2020-04-17,56.98,56.21,57.28,56.0,62431.75786
2020-04-18,56.2,58.04,58.8,55.96,61439.81283
2020-04-19,57.98,57.05,58.49,56.38,64000.51113
2020-04-20,57.02,54.69,58.38,53.96,68620.33465
2020-04-21,54.64,55.14,55.9,54.0,54194.16674
2020-04-22,55.14,56.95,57.35,54.73,54030.38594
2020-04-23,56.98,59.27,61.06,56.14,74876.13115
2020-04-24,59.27,60.68,62.45,59.18,72897.21584
2020-04-25,60.72,60.55,62.39,60.04,53175.29274
2020-04-26,60.55,61.33,62.0,59.84,61648.23511
2020-04-27,61.36,62.36,62.48,60.91,56186.86538
2020-04-28,62.4,62.07,63.83,61.22,81842.32202
2020-04-29,62.05,66.32,66.89,61.63,125685.27454
2020-04-30,66.31,62.28,68.42,61.11,125526.44439
2020-05-01,62.26,63.45,65.0,62.2,49802.91724
2020-05-02,63.45,64.54,64.97,63.29,27670.26567
2020-05-03,64.55,62.37,65.12,61.73,51250.93487
2020-05-04,62.42,61.06,62.61,58.53,73522.35412
2020-05-05,61.09,60.31,62.02,59.7,57308.97616
2020-05-06,60.33,57.85,62.06,57.36,126465.45997
2020-05-07,57.8,64.6,64.98,57.2,172064.24404
2020-05-08,64.59,63.39,65.93,63.06,146156.29752
2020-05-09,63.43,63.05,64.92,62.62,67357.01938
2020-05-10,62.97,58.85,63.15,53.25,134564.75291
2020-05-11,58.77,59.36,61.98,55.7,139601.77309
2020-05-12,59.41,61.5,62.37,59.16,67381.49689
2020-05-13,61.54,65.0,66.23,61.41,116846.55614
2020-05-14,65.03,65.28,65.77,62.66,100135.35976
2020-05-15,65.24,62.77,65.72,62.34,81238.96785
2020-05-16,62.73,65.42,65.88,62.03,62814.41423
2020-05-17,65.43,65.22,67.15,64.73,54596.30641
2020-05-18,65.21,66.96,67.78,65.01,59379.1646
2020-05-19,67.02,66.7,67.61,64.89,55491.29068
2020-05-20,66.71,64.66,67.09,63.01,66764.83721
2020-05-21,64.69,61.65,65.14,59.96,65248.26749
2020-05-22,61.65,62.89,63.54,61.0,61318.05756
2020-05-23,62.89,63.46,65.0,62.57,43248.60649
2020-05-24,63.46,60.64,63.71,60.58,54021.43623
2020-05-25,60.65,60.89,62.0,60.02,22161.18707
